坍落度识别批量处理报告
==================================================

处理时间: 2025-09-15 15:31:08
总图片数: 111
平均置信度: 53.29%

分类统计:
------------------------------
类别10_185-190: 5 张 (4.5%)
类别9_181-184: 106 张 (95.5%)

详细结果:
------------------------------
7_28_16_53-185_007.jpg: 类别10_185-190 (34.10%)
7_28_16_53-185_009.jpg: 类别9_181-184 (33.50%)
7_28_16_53-185_010.jpg: 类别9_181-184 (40.58%)
7_28_16_53-185_013.jpg: 类别10_185-190 (39.97%)
7_28_16_53-185_017.jpg: 类别9_181-184 (50.90%)
7_28_16_53-185_020.jpg: 类别10_185-190 (40.60%)
7_28_16_53-185_021.jpg: 类别9_181-184 (48.15%)
7_28_16_53-185_022.jpg: 类别10_185-190 (45.19%)
7_28_16_53-185_023.jpg: 类别9_181-184 (42.21%)
7_28_16_53-185_029.jpg: 类别9_181-184 (49.70%)
7_28_16_53-185_035.jpg: 类别9_181-184 (54.64%)
7_28_16_53-185_040.jpg: 类别9_181-184 (55.83%)
7_28_16_53-185_048.jpg: 类别9_181-184 (54.99%)
7_28_16_53-185_050.jpg: 类别9_181-184 (54.13%)
7_28_16_53-185_055.jpg: 类别9_181-184 (47.56%)
7_28_16_53-185_060.jpg: 类别9_181-184 (54.73%)
7_28_16_53-185_065.jpg: 类别9_181-184 (48.42%)
7_28_16_53-185_071.jpg: 类别9_181-184 (53.24%)
7_28_16_53-185_077.jpg: 类别10_185-190 (36.69%)
7_28_16_53-185_092.jpg: 类别9_181-184 (56.50%)
7_28_16_53-185_093.jpg: 类别9_181-184 (40.17%)
7_28_16_53-185_095.jpg: 类别9_181-184 (48.15%)
7_28_16_53-185_107.jpg: 类别9_181-184 (42.16%)
7_28_16_53-185_136.jpg: 类别9_181-184 (55.60%)
7_28_16_53-185_137.jpg: 类别9_181-184 (54.38%)
7_28_17_23-185_150.jpg: 类别9_181-184 (53.90%)
7_28_17_23-185_151.jpg: 类别9_181-184 (53.65%)
7_28_17_23-185_156.jpg: 类别9_181-184 (53.01%)
7_28_17_23-185_175.jpg: 类别9_181-184 (52.97%)
7_28_17_23-185_176.jpg: 类别9_181-184 (55.67%)
7_28_17_23-185_179.jpg: 类别9_181-184 (56.65%)
7_28_17_23-185_180.jpg: 类别9_181-184 (55.28%)
7_28_17_23-185_183.jpg: 类别9_181-184 (56.22%)
7_28_17_23-185_184.jpg: 类别9_181-184 (52.40%)
7_28_17_23-185_186.jpg: 类别9_181-184 (56.20%)
7_28_17_23-185_188.jpg: 类别9_181-184 (55.64%)
7_28_17_23-185_190.jpg: 类别9_181-184 (55.80%)
7_28_17_23-185_191.jpg: 类别9_181-184 (54.83%)
7_28_17_23-185_199.jpg: 类别9_181-184 (57.58%)
7_28_17_23-185_204.jpg: 类别9_181-184 (54.29%)
7_28_17_23-185_205.jpg: 类别9_181-184 (53.74%)
7_28_17_23-185_208.jpg: 类别9_181-184 (55.07%)
7_28_17_23-185_209.jpg: 类别9_181-184 (54.25%)
7_28_17_23-185_218.jpg: 类别9_181-184 (55.41%)
7_28_17_23-185_223.jpg: 类别9_181-184 (55.70%)
7_28_17_23-185_225.jpg: 类别9_181-184 (56.97%)
7_28_17_23-185_235.jpg: 类别9_181-184 (54.38%)
7_28_17_23-185_238.jpg: 类别9_181-184 (54.62%)
7_28_17_23-185_251.jpg: 类别9_181-184 (56.51%)
7_28_17_23-185_255.jpg: 类别9_181-184 (55.88%)
7_28_17_23-185_261.jpg: 类别9_181-184 (54.85%)
7_28_17_23-185_264.jpg: 类别9_181-184 (55.31%)
7_28_17_23-185_271.jpg: 类别9_181-184 (54.95%)
7_28_17_23-185_272.jpg: 类别9_181-184 (56.02%)
7_28_17_23-185_279.jpg: 类别9_181-184 (52.57%)
7_28_17_23-185_281.jpg: 类别9_181-184 (54.33%)
7_28_17_23-185_288.jpg: 类别9_181-184 (51.20%)
7_28_17_23-185_313.jpg: 类别9_181-184 (56.18%)
7_28_17_23-185_329.jpg: 类别9_181-184 (54.84%)
7_28_17_23-185_330.jpg: 类别9_181-184 (57.11%)
7_28_17_23-185_334.jpg: 类别9_181-184 (54.08%)
7_28_17_23-185_335.jpg: 类别9_181-184 (54.34%)
7_28_17_23-185_336.jpg: 类别9_181-184 (55.49%)
7_28_17_23-185_344.jpg: 类别9_181-184 (55.33%)
7_28_17_23-185_349.jpg: 类别9_181-184 (55.34%)
7_28_17_23-185_355.jpg: 类别9_181-184 (53.82%)
7_28_17_23-185_357.jpg: 类别9_181-184 (55.49%)
7_28_17_23-185_358.jpg: 类别9_181-184 (53.01%)
7_28_17_23-185_360.jpg: 类别9_181-184 (54.64%)
7_28_17_23-185_361.jpg: 类别9_181-184 (54.15%)
7_28_17_23-185_368.jpg: 类别9_181-184 (53.17%)
7_28_17_23-185_375.jpg: 类别9_181-184 (56.08%)
7_28_17_23-185_378.jpg: 类别9_181-184 (55.67%)
7_28_17_23-185_390.jpg: 类别9_181-184 (55.64%)
7_28_17_23-185_391.jpg: 类别9_181-184 (56.87%)
7_28_17_23-185_392.jpg: 类别9_181-184 (55.80%)
7_28_17_23-185_393.jpg: 类别9_181-184 (54.83%)
7_28_17_23-185_398.jpg: 类别9_181-184 (53.78%)
7_28_17_23-185_405.jpg: 类别9_181-184 (54.49%)
7_28_17_23-185_411.jpg: 类别9_181-184 (54.25%)
7_28_17_23-185_414.jpg: 类别9_181-184 (52.88%)
7_28_17_23-185_420.jpg: 类别9_181-184 (55.41%)
7_28_17_23-185_426.jpg: 类别9_181-184 (58.51%)
7_28_17_23-185_430.jpg: 类别9_181-184 (55.56%)
7_28_17_23-185_431.jpg: 类别9_181-184 (55.82%)
7_28_17_23-185_436.jpg: 类别9_181-184 (53.63%)
7_28_17_23-185_440.jpg: 类别9_181-184 (54.62%)
7_28_17_23-185_444.jpg: 类别9_181-184 (55.22%)
7_28_17_23-185_446.jpg: 类别9_181-184 (56.77%)
7_28_17_23-185_451.jpg: 类别9_181-184 (54.72%)
7_28_17_23-185_454.jpg: 类别9_181-184 (56.94%)
7_28_17_23-185_461.jpg: 类别9_181-184 (56.47%)
7_28_17_23-185_472.jpg: 类别9_181-184 (53.93%)
7_28_17_23-185_473.jpg: 类别9_181-184 (54.95%)
7_28_17_23-185_474.jpg: 类别9_181-184 (56.02%)
7_28_17_23-185_479.jpg: 类别9_181-184 (54.75%)
7_28_17_23-185_486.jpg: 类别9_181-184 (55.16%)
7_28_17_23-185_487.jpg: 类别9_181-184 (56.16%)
7_28_17_23-185_494.jpg: 类别9_181-184 (53.09%)
7_28_17_23-185_495.jpg: 类别9_181-184 (54.82%)
7_28_17_23-185_504.jpg: 类别9_181-184 (56.50%)
7_28_17_23-185_514.jpg: 类别9_181-184 (55.76%)
7_28_17_23-185_524.jpg: 类别9_181-184 (55.28%)
7_28_17_23-185_525.jpg: 类别9_181-184 (55.98%)
7_28_17_23-185_528.jpg: 类别9_181-184 (56.45%)
7_28_17_23-185_536.jpg: 类别9_181-184 (54.08%)
7_28_17_23-185_537.jpg: 类别9_181-184 (54.34%)
7_28_17_23-185_541.jpg: 类别9_181-184 (53.64%)
7_28_17_23-185_542.jpg: 类别9_181-184 (55.71%)
7_28_17_23-185_549.jpg: 类别9_181-184 (56.21%)
7_28_17_23-185_550.jpg: 类别9_181-184 (53.91%)
